date,spd,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,P_batt_W,P_mech_waste_W,t_s,v_ms,a_smooth,decel_g
2022-09-04 13:04:56+00:00,1.67580848,,,,,4.50958875037723,0.0,2768.0,0.4655023555555555,0.02730248143518525,-0.002783127567297171
2022-09-04 13:04:58+00:00,2.359806054,,,,,12.383730535169914,0.0,2770.0,0.6555016816666667,0.08712260974537045,-0.008880999974043877
2022-09-04 13:05:00+00:00,2.037705482,,,,,20.282744627715726,0.0,2772.0,0.5660293005555554,0.1982308166898149,-0.020207014953090203
2022-09-04 13:05:02+00:00,4.804015164,,,,,62.79692393835652,0.0,2774.0,1.3344486566666667,0.2687758255092594,-0.027398147350587092
2022-09-04 13:05:04+00:00,7.795170651,,,,,104.25668701832278,0.0,2776.0,2.1653251808333334,0.270081084513889,-0.02753120127562579
2022-09-04 13:05:06+00:00,8.213456547,,,,,97.59619552497787,0.0,2778.0,2.2815157075,0.23388731423611117,-0.023841724183089823
2022-09-04 13:05:08+00:00,10.29576695,,,,,131.88229744070375,0.0,2780.0,2.859935263888889,0.24976699263888893,-0.02546044777154831
2022-09-04 13:05:10+00:00,12.40735084,,,,,170.40695276287695,0.0,2782.0,3.4464863444444442,0.26414807553240743,-0.026926409330520634
2022-09-04 13:05:12+00:00,14.39121044,,,,,165.7397497300515,0.0,2784.0,3.9975584555555557,0.20366983078703704,-0.020761450640880433
2022-09-04 13:05:14+00:00,15.52920992,,,,,118.45010530071538,0.0,2786.0,4.313669422222222,0.1067604439814815,-0.01088281793898894
2022-09-04 13:05:16+00:00,15.97244456,,,,,39.12272948013153,0.0,2788.0,4.436790155555555,-0.017415907870370322,0.00177532190319779
2022-09-04 13:05:18+00:00,15.4381679,,,,,-38.07492882535082,0.0,2790.0,4.288379972222222,-0.14428321041666659,0.014707768645939508
2022-09-04 13:05:20+00:00,13.72988524,,,,,-82.86482506679582,0.0,2792.0,3.8138570111111108,-0.2404040156249999,0.024506015863914363
2022-09-04 13:05:22+00:00,11.53873455,,,,,-88.12401315988765,0.0,2794.0,3.2052040416666663,-0.2784401634259258,0.02838329902404952
2022-09-04 13:05:24+00:00,9.486424435,,,,,-69.89941216423966,0.0,2796.0,2.635117898611111,-0.26394434069444433,0.026905641253256302
2022-09-04 13:05:26+00:00,7.653013645,,,,,-45.981868947069366,0.0,2798.0,2.125837123611111,-0.21951956023148136,0.022377121328387498
